label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,5,7]
14.a1	[1,0,1,-2731,-55146]	1 0 0 1
14.a2	[1,0,1,-171,-874]	1 0 0 1
14.a3	[1,0,1,-36,-70]	1 0 0 1
14.a4	[1,0,1,-11,12]	1 0 0 1
14.a5	[1,0,1,-1,0]	1 0 0 1
14.a6	[1,0,1,4,-6]	1 0 0 1
15.a1	[1,1,1,-2160,-39540]	0 1 1 0
15.a2	[1,1,1,-135,-660]	0 1 1 0
15.a3	[1,1,1,-110,-880]	0 1 1 0
15.a4	[1,1,1,-80,242]	0 1 1 0
15.a5	[1,1,1,-10,-10]	0 1 1 0
15.a6	[1,1,1,-5,2]	0 1 1 0
15.a7	[1,1,1,0,0]	0 1 1 0
15.a8	[1,1,1,35,-28]	0 1 1 0
20.a1	[0,1,0,-41,-116]	2 0 1 0
20.a2	[0,1,0,-36,-140]	2 0 1 0
20.a3	[0,1,0,-1,0]	2 0 1 0
20.a4	[0,1,0,4,4]	2 0 1 0
21.a1	[1,0,0,-784,-8515]	0 1 0 1
21.a2	[1,0,0,-49,-136]	0 1 0 1
21.a3	[1,0,0,-39,90]	0 1 0 1
21.a4	[1,0,0,-34,-217]	0 1 0 1
21.a5	[1,0,0,-4,-1]	0 1 0 1
21.a6	[1,0,0,1,0]	0 1 0 1
24.a1	[0,-1,0,-384,-2772]	3 1 0 0
24.a2	[0,-1,0,-64,220]	3 1 0 0
24.a3	[0,-1,0,-24,-36]	3 1 0 0
24.a4	[0,-1,0,-4,4]	3 1 0 0
24.a5	[0,-1,0,1,0]	3 1 0 0
24.a6	[0,-1,0,16,-180]	3 1 0 0
27.a1	[0,0,1,-270,-1708]	0 3 0 0
27.a2	[0,0,1,-30,63]	0 3 0 0
27.a3	[0,0,1,0,-7]	0 3 0 0
27.a4	[0,0,1,0,0]	0 3 0 0
30.a1	[1,0,1,-5334,-150368]	1 1 1 0
30.a2	[1,0,1,-454,-544]	1 1 1 0
30.a3	[1,0,1,-334,-2368]	1 1 1 0
30.a4	[1,0,1,-289,1862]	1 1 1 0
30.a5	[1,0,1,-69,-194]	1 1 1 0
30.a6	[1,0,1,-19,26]	1 1 1 0
30.a7	[1,0,1,-14,-64]	1 1 1 0
30.a8	[1,0,1,1,2]	1 1 1 0
32.a1	[0,0,0,-11,-14]	5 0 0 0
32.a2	[0,0,0,-11,14]	5 0 0 0
32.a3	[0,0,0,-1,0]	5 0 0 0
32.a4	[0,0,0,4,0]	5 0 0 0
35.a1	[0,1,1,-131,-650]	0 0 1 1
35.a2	[0,1,1,-1,0]	0 0 1 1
35.a3	[0,1,1,9,1]	0 0 1 1
36.a1	[0,0,0,-135,-594]	2 2 0 0
36.a2	[0,0,0,-15,22]	2 2 0 0
36.a3	[0,0,0,0,-27]	2 2 0 0
36.a4	[0,0,0,0,1]	2 2 0 0
40.a1	[0,0,0,-107,-426]	3 0 1 0
40.a2	[0,0,0,-7,-6]	3 0 1 0
40.a3	[0,0,0,-2,1]	3 0 1 0
40.a4	[0,0,0,13,-34]	3 0 1 0
42.a1	[1,1,1,-1344,18405]	1 1 0 1
42.a2	[1,1,1,-914,-10915]	1 1 0 1
42.a3	[1,1,1,-104,101]	1 1 0 1
42.a4	[1,1,1,-84,261]	1 1 0 1
42.a5	[1,1,1,-4,5]	1 1 0 1
42.a6	[1,1,1,386,1277]	1 1 0 1
45.a1	[1,-1,0,-19440,1048135]	0 2 1 0
45.a2	[1,-1,0,-1215,16600]	0 2 1 0
45.a3	[1,-1,0,-990,22765]	0 2 1 0
45.a4	[1,-1,0,-720,-7259]	0 2 1 0
45.a5	[1,-1,0,-90,175]	0 2 1 0
45.a6	[1,-1,0,-45,-104]	0 2 1 0
45.a7	[1,-1,0,0,-5]	0 2 1 0
45.a8	[1,-1,0,315,1066]	0 2 1 0
48.a1	[0,1,0,-384,2772]	4 1 0 0
48.a2	[0,1,0,-64,-220]	4 1 0 0
48.a3	[0,1,0,-24,36]	4 1 0 0
48.a4	[0,1,0,-4,-4]	4 1 0 0
48.a5	[0,1,0,1,0]	4 1 0 0
48.a6	[0,1,0,16,180]	4 1 0 0
49.a1	[1,-1,0,-1822,30393]	0 0 0 2
49.a2	[1,-1,0,-107,552]	0 0 0 2
49.a3	[1,-1,0,-37,-78]	0 0 0 2
49.a4	[1,-1,0,-2,-1]	0 0 0 2
50.a1	[1,0,1,-126,-552]	1 0 2 0
50.a2	[1,0,1,-76,298]	1 0 2 0
50.a3	[1,0,1,-1,-2]	1 0 2 0
50.a4	[1,0,1,549,-2202]	1 0 2 0
50.b1	[1,1,1,-3138,-68969]	1 0 2 0
50.b2	[1,1,1,-13,-219]	1 0 2 0
50.b3	[1,1,1,-3,1]	1 0 2 0
50.b4	[1,1,1,22,-9]	1 0 2 0
54.a1	[1,-1,0,-123,-667]	1 3 0 0
54.a2	[1,-1,0,-3,3]	1 3 0 0
54.a3	[1,-1,0,12,8]	1 3 0 0
54.b1	[1,-1,1,-29,-53]	1 3 0 0
54.b2	[1,-1,1,-14,29]	1 3 0 0
54.b3	[1,-1,1,1,-1]	1 3 0 0
56.a1	[0,0,0,-299,1990]	3 0 0 1
56.a2	[0,0,0,-59,-138]	3 0 0 1
56.a3	[0,0,0,-19,30]	3 0 0 1
56.a4	[0,0,0,1,2]	3 0 0 1
56.b1	[0,-1,0,-40,-84]	3 0 0 1
56.b2	[0,-1,0,0,-4]	3 0 0 1
63.a1	[1,-1,0,-7056,229905]	0 2 0 1
63.a2	[1,-1,0,-441,3672]	0 2 0 1
63.a3	[1,-1,0,-351,-2430]	0 2 0 1
63.a4	[1,-1,0,-306,5859]	0 2 0 1
63.a5	[1,-1,0,-36,27]	0 2 0 1
63.a6	[1,-1,0,9,0]	0 2 0 1
64.a1	[0,0,0,-44,-112]	6 0 0 0
64.a2	[0,0,0,-44,112]	6 0 0 0
64.a3	[0,0,0,-4,0]	6 0 0 0
64.a4	[0,0,0,1,0]	6 0 0 0
70.a1	[1,-1,1,-268,-1619]	1 0 1 1
70.a2	[1,-1,1,-88,317]	1 0 1 1
70.a3	[1,-1,1,-18,-19]	1 0 1 1
70.a4	[1,-1,1,2,-3]	1 0 1 1
72.a1	[0,0,0,-3459,78302]	3 2 0 0
72.a2	[0,0,0,-579,-5362]	3 2 0 0
72.a3	[0,0,0,-219,1190]	3 2 0 0
72.a4	[0,0,0,-39,-70]	3 2 0 0
72.a5	[0,0,0,6,-7]	3 2 0 0
72.a6	[0,0,0,141,4718]	3 2 0 0
75.a1	[0,1,1,-208,-1256]	0 1 2 0
75.a2	[0,1,1,2,4]	0 1 2 0
75.b1	[1,0,1,-54001,-4834477]	0 1 2 0
75.b2	[1,0,1,-3376,-75727]	0 1 2 0
75.b3	[1,0,1,-2751,-104477]	0 1 2 0
75.b4	[1,0,1,-2001,34273]	0 1 2 0
75.b5	[1,0,1,-251,-727]	0 1 2 0
75.b6	[1,0,1,-126,523]	0 1 2 0
75.b7	[1,0,1,-1,23]	0 1 2 0
75.b8	[1,0,1,874,-5227]	0 1 2 0
75.c1	[0,-1,1,-8,-7]	0 1 2 0
75.c2	[0,-1,1,42,443]	0 1 2 0
80.a1	[0,0,0,-107,426]	4 0 1 0
80.a2	[0,0,0,-7,6]	4 0 1 0
80.a3	[0,0,0,-2,-1]	4 0 1 0
80.a4	[0,0,0,13,34]	4 0 1 0
80.b1	[0,-1,0,-41,116]	4 0 1 0
80.b2	[0,-1,0,-36,140]	4 0 1 0
80.b3	[0,-1,0,-1,0]	4 0 1 0
80.b4	[0,-1,0,4,-4]	4 0 1 0
84.a1	[0,-1,0,-36,-72]	2 1 0 1
84.a2	[0,-1,0,-1,-2]	2 1 0 1
84.b1	[0,1,0,-1828,-30700]	2 1 0 1
84.b2	[0,1,0,-113,-516]	2 1 0 1
84.b3	[0,1,0,-28,-28]	2 1 0 1
84.b4	[0,1,0,7,0]	2 1 0 1
90.a1	[1,-1,0,-1149,-14707]	1 2 1 0
90.a2	[1,-1,0,-69,-235]	1 2 1 0
90.a3	[1,-1,0,-24,18]	1 2 1 0
90.a4	[1,-1,0,6,0]	1 2 1 0
90.b1	[1,-1,1,-218,-269]	1 2 1 0
90.b2	[1,-1,1,-128,587]	1 2 1 0
90.b3	[1,-1,1,-8,11]	1 2 1 0
90.b4	[1,-1,1,52,-53]	1 2 1 0
90.c1	[1,-1,1,-48002,4059929]	1 2 1 0
90.c2	[1,-1,1,-4082,14681]	1 2 1 0
90.c3	[1,-1,1,-3002,63929]	1 2 1 0
90.c4	[1,-1,1,-2597,-50281]	1 2 1 0
90.c5	[1,-1,1,-617,5231]	1 2 1 0
90.c6	[1,-1,1,-167,-709]	1 2 1 0
90.c7	[1,-1,1,-122,1721]	1 2 1 0
90.c8	[1,-1,1,13,-61]	1 2 1 0
96.a1	[0,-1,0,-32,-60]	5 1 0 0
96.a2	[0,-1,0,-17,33]	5 1 0 0
96.a3	[0,-1,0,-2,0]	5 1 0 0
96.a4	[0,-1,0,8,-8]	5 1 0 0
96.b1	[0,1,0,-32,60]	5 1 0 0
96.b2	[0,1,0,-17,-33]	5 1 0 0
96.b3	[0,1,0,-2,0]	5 1 0 0
96.b4	[0,1,0,8,8]	5 1 0 0
98.a1	[1,1,0,-133795,18781197]	1 0 0 2
98.a2	[1,1,0,-8355,291341]	1 0 0 2
98.a3	[1,1,0,-1740,22184]	1 0 0 2
98.a4	[1,1,0,-515,-4717]	1 0 0 2
98.a5	[1,1,0,-25,-111]	1 0 0 2
98.a6	[1,1,0,220,2192]	1 0 0 2
100.a1	[0,-1,0,-1033,-12438]	2 0 2 0
100.a2	[0,-1,0,-908,-15688]	2 0 2 0
100.a3	[0,-1,0,-33,62]	2 0 2 0
100.a4	[0,-1,0,92,312]	2 0 2 0
105.a1	[1,0,1,-113,-469]	0 1 1 1
105.a2	[1,0,1,-8,-7]	0 1 1 1
105.a3	[1,0,1,-3,1]	0 1 1 1
105.a4	[1,0,1,17,-37]	0 1 1 1
