label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3]
24.a1	[0,-1,0,-384,-2772]	3 1
24.a2	[0,-1,0,-64,220]	3 1
24.a3	[0,-1,0,-24,-36]	3 1
24.a4	[0,-1,0,-4,4]	3 1
24.a5	[0,-1,0,1,0]	3 1
24.a6	[0,-1,0,16,-180]	3 1
27.a1	[0,0,1,-270,-1708]	0 3
27.a2	[0,0,1,-30,63]	0 3
27.a3	[0,0,1,0,-7]	0 3
27.a4	[0,0,1,0,0]	0 3
32.a1	[0,0,0,-11,-14]	5 0
32.a2	[0,0,0,-11,14]	5 0
32.a3	[0,0,0,-1,0]	5 0
32.a4	[0,0,0,4,0]	5 0
36.a1	[0,0,0,-135,-594]	2 2
36.a2	[0,0,0,-15,22]	2 2
36.a3	[0,0,0,0,-27]	2 2
36.a4	[0,0,0,0,1]	2 2
48.a1	[0,1,0,-384,2772]	4 1
48.a2	[0,1,0,-64,-220]	4 1
48.a3	[0,1,0,-24,36]	4 1
48.a4	[0,1,0,-4,-4]	4 1
48.a5	[0,1,0,1,0]	4 1
48.a6	[0,1,0,16,180]	4 1
54.a1	[1,-1,0,-123,-667]	1 3
54.a2	[1,-1,0,-3,3]	1 3
54.a3	[1,-1,0,12,8]	1 3
54.b1	[1,-1,1,-29,-53]	1 3
54.b2	[1,-1,1,-14,29]	1 3
54.b3	[1,-1,1,1,-1]	1 3
64.a1	[0,0,0,-44,-112]	6 0
64.a2	[0,0,0,-44,112]	6 0
64.a3	[0,0,0,-4,0]	6 0
64.a4	[0,0,0,1,0]	6 0
72.a1	[0,0,0,-3459,78302]	3 2
72.a2	[0,0,0,-579,-5362]	3 2
72.a3	[0,0,0,-219,1190]	3 2
72.a4	[0,0,0,-39,-70]	3 2
72.a5	[0,0,0,6,-7]	3 2
72.a6	[0,0,0,141,4718]	3 2
96.a1	[0,-1,0,-32,-60]	5 1
96.a2	[0,-1,0,-17,33]	5 1
96.a3	[0,-1,0,-2,0]	5 1
96.a4	[0,-1,0,8,-8]	5 1
96.b1	[0,1,0,-32,60]	5 1
96.b2	[0,1,0,-17,-33]	5 1
96.b3	[0,1,0,-2,0]	5 1
96.b4	[0,1,0,8,8]	5 1
108.a1	[0,0,0,0,-108]	2 3
108.a2	[0,0,0,0,4]	2 3
128.a1	[0,1,0,-9,7]	7 0
128.a2	[0,1,0,1,1]	7 0
128.b1	[0,1,0,-2,-2]	7 0
128.b2	[0,1,0,3,-5]	7 0
128.c1	[0,-1,0,-9,-7]	7 0
128.c2	[0,-1,0,1,-1]	7 0
128.d1	[0,-1,0,-2,2]	7 0
128.d2	[0,-1,0,3,5]	7 0
144.a1	[0,0,0,-135,594]	4 2
144.a2	[0,0,0,-15,-22]	4 2
144.a3	[0,0,0,0,-1]	4 2
144.a4	[0,0,0,0,27]	4 2
144.b1	[0,0,0,-3459,-78302]	4 2
144.b2	[0,0,0,-579,5362]	4 2
144.b3	[0,0,0,-219,-1190]	4 2
144.b4	[0,0,0,-39,70]	4 2
144.b5	[0,0,0,6,7]	4 2
144.b6	[0,0,0,141,-4718]	4 2
162.a1	[1,-1,0,-6,8]	1 4
162.a2	[1,-1,0,39,-19]	1 4
162.b1	[1,-1,0,-1077,13877]	1 4
162.b2	[1,-1,0,-852,19664]	1 4
162.b3	[1,-1,0,-42,-100]	1 4
162.b4	[1,-1,0,3,-1]	1 4
162.c1	[1,-1,1,-9695,-364985]	1 4
162.c2	[1,-1,1,-95,-697]	1 4
162.c3	[1,-1,1,-5,5]	1 4
162.c4	[1,-1,1,25,1]	1 4
162.d1	[1,-1,1,-56,-161]	1 4
162.d2	[1,-1,1,4,-1]	1 4
192.a1	[0,-1,0,-129,609]	6 1
192.a2	[0,-1,0,-9,9]	6 1
192.a3	[0,-1,0,-4,-2]	6 1
192.a4	[0,-1,0,31,33]	6 1
192.b1	[0,-1,0,-1537,23713]	6 1
192.b2	[0,-1,0,-257,-1503]	6 1
192.b3	[0,-1,0,-97,385]	6 1
192.b4	[0,-1,0,-17,-15]	6 1
192.b5	[0,-1,0,3,-3]	6 1
192.b6	[0,-1,0,63,1377]	6 1
192.c1	[0,1,0,-129,-609]	6 1
192.c2	[0,1,0,-9,-9]	6 1
192.c3	[0,1,0,-4,2]	6 1
192.c4	[0,1,0,31,-33]	6 1
192.d1	[0,1,0,-1537,-23713]	6 1
192.d2	[0,1,0,-257,1503]	6 1
192.d3	[0,1,0,-97,-385]	6 1
192.d4	[0,1,0,-17,15]	6 1
192.d5	[0,1,0,3,3]	6 1
192.d6	[0,1,0,63,-1377]	6 1
216.a1	[0,0,0,-12,20]	3 3
216.b1	[0,0,0,-3,-34]	3 3
216.c1	[0,0,0,-27,918]	3 3
216.d1	[0,0,0,-108,-540]	3 3
243.a1	[0,0,1,0,-1]	0 5
243.a2	[0,0,1,0,20]	0 5
243.b1	[0,0,1,0,-61]	0 5
243.b2	[0,0,1,0,2]	0 5
256.a1	[0,1,0,-13,-21]	8 0
256.a2	[0,1,0,-3,1]	8 0
256.b1	[0,0,0,-2,0]	8 0
256.b2	[0,0,0,8,0]	8 0
256.c1	[0,0,0,-8,0]	8 0
256.c2	[0,0,0,2,0]	8 0
256.d1	[0,-1,0,-13,21]	8 0
256.d2	[0,-1,0,-3,-1]	8 0
288.a1	[0,0,0,-12,0]	5 2
288.a2	[0,0,0,3,0]	5 2
288.b1	[0,0,0,-291,-1910]	5 2
288.b2	[0,0,0,-156,736]	5 2
288.b3	[0,0,0,-21,-20]	5 2
288.b4	[0,0,0,69,-146]	5 2
288.c1	[0,0,0,-291,1910]	5 2
