[1 + i  , i  , i  ,0  ,0  ]                                ( 4 + 3i  )
[0  ,0  ,0  ,-1  ,0  ]                                     ( 8  )
[1 + i  , i  ,0  ,2  ,3i  ]                                ( 8  )
[1 + i  ,0  ,1  ,0  ,0  ]                                  ( 7 + 4i  )
[1 + i  ,-1 + i  , i  ,-1 - i  ,1 - i  ]                   ( 7 + 4i  )
[1 + i  ,0  ,1  ,-5 -5i  ,-5 -2i  ]                        ( 7 + 4i  )
[1 + i  ,-1 + i  , i  ,4 +14i  ,14 +7i  ]                  ( 7 + 4i  )
[1 + i  ,0  ,1  ,-400 -240i  ,-2627 -2869i  ]              ( 7 + 4i  )
[1 + i  ,-1 + i  , i  ,99 +59i  ,-410 +372i  ]             ( 7 + 4i  )
[0  ,1  ,0  ,1  ,0  ]                                      ( 6 + 6i  )
[1 + i  , -i  ,1 + i  ,1 - i  , -i  ]                      ( 6 + 6i  )
[1 + i  , -i  ,1 + i  ,16 - i  ,-28i  ]                    ( 6 + 6i  )
[1 + i  , -i  ,1 + i  ,6 - i  ,4i  ]                       ( 6 + 6i  )
[1 + i  , -i  ,1 + i  ,96 - i  ,346i  ]                    ( 6 + 6i  )
[1 + i  , -i  ,1 + i  ,-4 - i  ,22i  ]                     ( 6 + 6i  )
[ i  ,0  , i  ,0  ,0  ]                                    ( 7 + 7i  )
[ i  ,0  , i  ,-10  ,-12  ]                                ( 7 + 7i  )
[ i  ,0  , i  ,5  ,6  ]                                    ( 7 + 7i  )
[ i  ,0  , i  ,-35  ,70  ]                                 ( 7 + 7i  )
[ i  ,0  , i  ,-170  ,874  ]                               ( 7 + 7i  )
[ i  ,0  , i  ,-2730  ,55146  ]                            ( 7 + 7i  )
[0  ,1  ,0  ,-1  ,0  ]                                     ( 10  )
[1 + i  , -i  ,1 + i  ,-1 - i  ,0  ]                       ( 10  )
[0  ,1  ,0  ,-41  ,-116  ]                                 ( 10  )
[1 + i  , -i  ,1 + i  ,-11 -6i  ,12 +11i  ]                ( 10  )
[1 + i  , -i  ,1 + i  ,-11 +4i  ,-12 +11i  ]               ( 10  )
[1 + i  , -i  ,1 + i  ,9 - i  ,-18i  ]                     ( 10  )
[1 + i  , -i  ,1 + i  ,-1 -56i  ,118 -119i  ]              ( 10  )
[1 + i  , -i  ,1 + i  ,-1 +54i  ,-118 -119i  ]             ( 10  )
[1  ,-1 + i  ,1 + i  ,-1 - i  ,0  ]                        ( 9 + 5i  )
[1  ,-1 + i  ,1 + i  ,-31 -51i  ,30 +174i  ]               ( 9 + 5i  )
[1  ,-1 + i  ,1 + i  ,14 -76i  ,345 +225i  ]               ( 9 + 5i  )
[0  ,-1  ,1  ,0  ,0  ]                                     ( 11  )
[0  ,-1  ,1  ,-10  ,-20  ]                                 ( 11  )
[0  ,-1  ,1  ,-7820  ,-263580  ]                           ( 11  )
[ i  ,1 - i  , i  , -i  ,0  ]                              ( 9 + 7i  )
[ i  ,1 - i  , i  ,-5 -6i  ,8i  ]                          ( 9 + 7i  )
[ i  ,1 - i  , i  ,5 +9i  ,18 +2i  ]                       ( 9 + 7i  )
[ i  ,1 - i  , i  ,15 - i  ,30 +30i  ]                     ( 9 + 7i  )
[ i  ,1 - i  , i  ,-50 +89i  ,14 -368i  ]                  ( 9 + 7i  )
[ i  ,1 - i  , i  ,-130 +9i  ,-882 -688i  ]                ( 9 + 7i  )
[0  ,-1 - i  ,0  ,1  ,-1 - i  ]                            ( 12 + 4i  )
[1 + i  ,1  ,1 + i  ,-5 +2i  ,2 -4i  ]                     ( 12 + 4i  )
[0  ,1 - i  ,0  ,1 +2i  ,3 + i  ]                          ( 12 + 4i  )
[1 + i  ,1  ,0  ,-2i  ,1 -2i  ]                            ( 12 + 4i  )
[1 + i  ,1  ,0  ,-5 -37i  ,53 -88i  ]                      ( 12 + 4i  )
[1 + i  ,1  ,0  ,5 -7i  ,-7 -4i  ]                         ( 12 + 4i  )
[1 + i  ,1 + i  ,0  , i  ,0  ]                             ( 10 + 8i  )
[1 + i  ,1 + i  ,0  ,-4i  ,6 -4i  ]                        ( 10 + 8i  )
[1 + i  ,1 + i  ,0  ,-10 +21i  ,-18 -38i  ]                ( 10 + 8i  )
[1 + i  ,1 + i  ,0  ,-10 +26i  ,-10 -20i  ]                ( 10 + 8i  )
[1  ,-1 + i  , i  ,-4 -4i  ,-4i  ]                         ( 13 + 5i  )
[1  ,-1 + i  , i  ,1 -24i  ,-29 +33i  ]                    ( 13 + 5i  )
[1  ,-1 + i  , i  ,306 +56i  ,-640 +2126i  ]               ( 13 + 5i  )
[ i  , i  , i  , -i  ,1  ]                                 ( 13 + 5i  )
[ i  , i  , i  ,-35 +24i  ,-19 -180i  ]                    ( 13 + 5i  )
[0  ,0  ,0  ,-2  ,-1  ]                                    ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,1 - i  , i  ]                        ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,26 - i  ,66i  ]                      ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,-4 - i  ,2i  ]                       ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,-44 -31i  ,106 +94i  ]               ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,-44 +29i  ,-106 +94i  ]              ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,-694 -481i  ,6036 +7084i  ]          ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,-34 -61i  ,240 -48i  ]               ( 10 + 10i  )
[1 + i  , i  ,1 + i  ,-694 +479i  ,-6036 +7084i  ]         ( 10 + 10i  )
