[0  ,1 + w  , w  , w  ,0  ]                                ( 3 + 5w  )
[1  ,1 + w  ,0  , w  ,0  ]                                 ( 8 + w  )
[1  ,1 + w  ,0  ,-4w  ,4 -9w  ]                            ( 8 + w  )
[1  ,1 + w  ,0  ,10 +6w  ,20 -11w  ]                       ( 8 + w  )
[1  ,1 + w  ,0  ,5 +11w  ,11 -20w  ]                       ( 8 + w  )
[1 + w  , w  ,0  ,-1 + w  ,0  ]                            ( 5 + 5w  )
[1 + w  , w  ,0  ,4 -4w  ,7  ]                             ( 5 + 5w  )
[1 + w  , w  ,0  ,79 -79w  ,322  ]                         ( 5 + 5w  )
[1 + w  , w  ,0  ,9 -9w  ,0  ]                             ( 5 + 5w  )
[1 + w  , w  ,0  ,134 -134w  ,-525  ]                      ( 5 + 5w  )
[1 + w  , w  ,0  ,-36 +36w  ,-63  ]                        ( 5 + 5w  )
[1 + w  , w  ,0  ,2159 -2159w  ,-37380  ]                  ( 5 + 5w  )
[1 + w  , w  ,0  ,109 -109w  ,-770  ]                      ( 5 + 5w  )
[0  ,0  ,1  ,0  ,0  ]                                      ( 9  )
[0  ,0  ,1  ,-30  ,63  ]                                   ( 9  )
[0  ,-1  ,1  ,0  ,0  ]                                     ( 11  )
[0  ,-1  ,1  ,-10  ,-20  ]                                 ( 11  )
[0  ,-1  ,1  ,-7820  ,-263580  ]                           ( 11  )
[ w  ,-1 + w  ,1 + w  , -w  , -w  ]                        ( 10 + 2w  )
[ w  ,-1 + w  ,1 + w  ,10 +4w  ,6 +2w  ]                   ( 10 + 2w  )
[ w  ,-1 + w  ,1 + w  ,-750 -551w  ,-5980 -10551w  ]       ( 10 + 2w  )
[0  ,0  ,0  ,0  ,1  ]                                      ( 12  )
[0  ,0  ,0  ,-15  ,22  ]                                   ( 12  )
[1 + w  , -w  ,0  ,-1 + w  ,0  ]                           ( 7 + 7w  )
[1 + w  , -w  ,0  ,4 -4w  ,-1  ]                           ( 7 + 7w  )
[1 + w  , -w  ,0  ,49 -49w  ,-136  ]                       ( 7 + 7w  )
[1 + w  , -w  ,0  ,39 -39w  ,90  ]                         ( 7 + 7w  )
[1 + w  , -w  ,0  ,784 -784w  ,-8515  ]                    ( 7 + 7w  )
[1 + w  , -w  ,0  ,34 -34w  ,-217  ]                       ( 7 + 7w  )
[1 + w  , -w  ,0  ,-321 -149w  ,-1906 -1866w  ]            ( 7 + 7w  )
[1 + w  , -w  ,0  ,149 +321w  ,-3772 +1866w  ]             ( 7 + 7w  )
[1 + w  ,0  , w  ,0  ,0  ]                                 ( 9 + 6w  )
[1 + w  ,0  , w  ,-5 +10w  ,1 +10w  ]                      ( 9 + 6w  )
[1 + w  ,0  , w  ,5 -10w  ,13 -10w  ]                      ( 9 + 6w  )
[1 + w  ,0  , w  ,-25 +5w  ,67 -19w  ]                     ( 9 + 6w  )
[0  , w  ,0  ,-1 + w  ,0  ]                                ( 8 + 8w  )
[0  , w  ,0  ,-11 +6w  ,10 -11w  ]                         ( 8 + 8w  )
[0  , w  ,0  ,-6 +11w  ,-1 +11w  ]                         ( 8 + 8w  )
[0  , w  ,0  ,4 -4w  ,4  ]                                 ( 8 + 8w  )
[0  , w  ,0  ,64 -64w  ,220  ]                             ( 8 + 8w  )
[0  , w  ,0  ,24 -24w  ,-36  ]                             ( 8 + 8w  )
[0  , w  ,0  ,384 -384w  ,-2772  ]                         ( 8 + 8w  )
[0  , w  ,0  ,-16 +16w  ,-180  ]                           ( 8 + 8w  )
[ w  ,0  ,1  ,0  ,0  ]                                     ( 14  )
[ w  ,0  ,1  ,10w  ,12  ]                                  ( 14  )
[ w  ,0  ,1  ,-5w  ,-6  ]                                  ( 14  )
[ w  ,0  ,1  ,35w  ,-70  ]                                 ( 14  )
[ w  ,0  ,1  ,220 -405w  ,-2854 +1920w  ]                  ( 14  )
[ w  ,0  ,1  ,-220 -185w  ,-934 -1920w  ]                  ( 14  )
[ w  ,0  ,1  ,170w  ,-874  ]                               ( 14  )
[ w  ,0  ,1  ,2730w  ,-55146  ]                            ( 14  )
[ w  ,0  ,1  ,-230 -185w  ,-806 -1880w  ]                  ( 14  )
[ w  ,0  ,1  ,230 -415w  ,-2686 +1880w  ]                  ( 14  )
[1 + w  ,1  ,1  ,-1  , -w  ]                               ( 14 + 2w  )
